Name,Address,Ethnicity,Dietary Restrictions,Establishment Type,Seating,Accessible,Accessible Subway,Rating,Price,Good For,Description,Recommendations,Image Count,FIrst Image Alt
Thaan,"84-22 37th Ave, Jackson Heights, NY 11372",Thai,"Vegan Friendly,Vegetarian Friendly",Restaurant,"Sidewalk,Indoor",Y,,3,2,"Fried Chicken,Seafood",A new and underrated Thai spot. They specialize in meat and seafood but their vegan- and vegetarian-friendly offerings are solid.,Hat Yai [Fried Chicken]; Spring Rolls; Pla Plo [Grilled Branzino]; any of the curries,4,Pile of deep fried shrimp and fries
Khao Nom,"42-06 77th St, Elmhurst, NY 11373",Thai,"Vegan Friendly,Vegetarian Friendly",Restaurant,"Sidewalk,Indoor,Public Space",Y,74th Street - Broadway,3,1,"Dessert,Lunchboxes,Quick Bites",The definitive place for Thai desserts but their entrees hold up equally well. They also have excellent and unique vegan options.,"Spicy Mock Duck, Water Chestnut, Pandan Custard Crepes",3,Variety of desserts - including pandan cubes and coconut puddings - on a plate
White Bear,"135-02 Roosevelt Ave, Flushing, NY 11354",Chinese,,"Restaurant,Take-out","None,Public Space",Y,Flushing - Main Street,3,1,"Quick Bites,Budget Friendly,Wontons","Best spicy wontons in New York hands down, even before you factor in the low price.",#6: Spicy wontons,1,Interior of a spartan restaurant
Il Bambino,"34-08 31st Ave, Astoria, NY 11106",Italian,Vegetarian Friendly,Restaurant,Public Space,Y,,3,2,Paninis,"You come here for paninis, it's as simple as that. Their menu changes regularly so keep an eye on their Instagram.",,1,Photo of a panini
NetCost Market,"97-10 Queens Blvd, Rego Park, NY 11374",Eastern European,"Vegetarian Friendly,Kosher",Supermarket,None,Y,,3,2,"Fresh Bread,Imports,Deli Meats & Cheeses,Pickled Stuff","This is the lone Queens outpost of a relatively prolific supermarket chain specializing in Eastern European products. They bake fresh bread daily, have a great selection of authentic deli products and stock a variety of imported goods. They also have a Glatt Kosher (albeit pricy) buffet of prepared foods.",Sunflower seed bread; Everything pickled; Goose liver pâté,0,
Izikaya Fuku,"71-28 Roosevelt Ave, Jackson Heights, NY 11372",Japanese,,Restaurant,Sidewalk,Y,74th Street - Broadway,3,3,Comfort Food,"Come here for good Japanese comfort food. In addition to more ""traditional"" Japanese offerings, they also have some interesting and delicious Western fusion items.",,0,
Cannelle Patisserie,"7559 31st Ave, Jackson Heights, NY 11370",Italian,,"Restaurant,Bakery",Private Outdoor,Y,,3,3,"Dessert,Drivers","An out-of-the-way Italian restaurant with excellent desserts. Also one of the few establishments in our database with customer parking, including accessible parking.",Napoleon Cake,0,
A+ Roof Bar,"39-16 College Point Boulevard, level R, Flushing, NY 11354",,,Bar,"Private Outdoor,Indoor",Y,Flushing - Main Street,2,3,"Cocktails,Happy Hour","Rooftop bar on top of the Parc Hotel. A+ stands out from the other rooftop bars in the area for its clever cocktails, pleasant ambiance and not-deafening music.",,4,Photo of four cocktails
Fuskahouse,"73-05 37th Ave, Jackson Heights, NY 11372",Bengali,"Vegetarian Friendly,Halal",Food Cart/Truck,Sidewalk,Y,74th Street - Broadway,2,1,"Fuchka,Budget Friendly,Quick Bites","A relative, their menu bears an uncanny resemblance to the adjacent Tong NYC. That said, the food quality is solid and may even edge out their competitor. ",,2,Round aluminum takeout container full of fuska - little orbs with a thin crispy outer layer - arranged around a container of tamarind water.
Unidentified Flying Chickens,"71-22 Roosevelt Avenue, Jackson Heights, NY 11372",Korean,,"Restaurant,Bar",None,N,74th Street - Broadway,2,2,"Fried Chicken,Beer",Definitive neighborhood spot for Korean Fried Chicken and Beer,Wings Combo; Poutine Fries; Delerium Nocturnum; Hitachino White; Nitro Milk Stout,1,Photo of wing and drumstick combo next to poutine 
