Name,Address,Ethnicity,Dietary Restrictions,Establishment Type,Seating,Accessible,Accessible Subway,Rating,Price,Good For,Description,Recommendations,Image Count,First Image Alt,Phone,Website,Instagram,Facebook,Delivery,Payment Methods
Khao Nom,"42-06 77th St, Elmhurst, NY 11373",16,3;5,5,"Sidewalk,Indoor,Public Space",Y,74th Street - Broadway,3,1,"Dessert,Lunchboxes,Quick Bites",The definitive place for Thai desserts but their entrees hold up equally well. They also have excellent and unique vegan options.,"Spicy Mock Duck, Water Chestnut, Pandan Custard Crepes",4,Variety of desserts - including pandan cubes and coconut puddings - on a plate,(929) 208-0108,,khaoNomNYC,khaoNomNYC,checked,"Cash,Zelle"
Thaan,"84-22 37th Ave, Jackson Heights, NY 11372",16,3;5,5,"Sidewalk,Indoor",Y,,3,2,"Fried Chicken,Seafood",A new and underrated Thai spot. They specialize in meat and seafood but their vegan- and vegetarian-friendly offerings are solid.,"Hat Yai [Fried Chicken], Spring Rolls, Pla Plo [Grilled Branzino], all of the curries",4,Pile of deep fried shrimp and fries,(718) 806-1357,https://www.thaanny.com/,thaan.nyc,thaan.nyc,checked,"Cash,Credit Card"
Stand Alone Cheese,"79-07 37th Avenue, Jackson Heights, NY 11372","",5,4,None,Y,,3,3,"Imports,Deli Meats & Cheeses",Local purveyor of fine cheese that also sells deli meats and bread.,,2,Pile of cheeses. Image Credit: Stand Alone Cheese,(929) 296-9000,https://www.standalonecheese.com/,standAloneCheese,standAloneCheese,,"Cash,Credit Card"
White Bear,"135-02 Roosevelt Ave, Flushing, NY 11354",3,"",5;7,"None,Public Space",Y,Flushing - Main Street,3,1,"Quick Bites,Budget Friendly,Wontons","Best spicy wontons in New York hands down, even before you factor in the low price.",#6: Spicy wontons,1,Interior of a spartan restaurant,(718) 961-2322,,,,,Cash
Il Bambino,"34-08 31st Ave, Astoria, NY 11106",9,5,5,Public Space,Y,,3,2,Paninis,"You come here for paninis, it's as simple as that. Their menu changes regularly so keep an eye on their Instagram.",,1,Photo of a panini,(718) 626-0087,http://ilbambinonyc.com/,ilBambinoNYC,https://www.facebook.com/pages/category/Italian-Restaurant/Il-Bambino-157302887630463/,checked,"Cash,Credit Card"
Izikaya Fuku,"71-28 Roosevelt Ave, Jackson Heights, NY 11372",11,"",5,Sidewalk,Y,74th Street - Broadway,3,3,Comfort Food,"Come here for good Japanese comfort food. In addition to more ""traditional"" Japanese offerings, they also have some interesting and delicious Western fusion items.",,1,Photo of the interior decorated with Japanese lanterns and advertisements and a flag on the ceiling.,(718) 255-1120,https://www.fukunyc.com/,izakayaFukuNYC,,,"Cash,Credit Card"
Cemitas el Tigre,"45-14 48th Ave, Woodside, NY 11377",15,"",5,"Public Space,Indoor,Sidewalk",Y,,3,2,"Sandwiches,Tacos,Burritos","Cemitas are a type of Mexican sandwhich, and this place does them really well. They also have an assortment of other foods and a decent alcohol selection. They do have a veggie cemita and a veggie burrito (with cheese) but the selection isn't big enough to have them ranked as vegetarian friendly. Also, the website is outdated, they have outdoor and indoor seating as of October.",,0,Portabella mushroom cemita,(929) 296-3946,https://www.cemitaseltigre.com/,cemitasElTigre,CemitasElTigre,checked,"Cash,Credit Card"
NetCost Market,"97-10 Queens Blvd, Rego Park, NY 11374",6,5;1,6,None,Y,,3,2,"Fresh Bread,Imports,Deli Meats & Cheeses,Pickled Stuff","This is the lone Queens outpost of a relatively prolific supermarket chain specializing in Eastern European products. They bake fresh bread daily, have a great selection of authentic deli products and stock a variety of imported goods. They also have a Glatt Kosher (albeit pricy) buffet of prepared foods.","Sunflower seed bread, Everything pickled, Goose liver pâté",0,,(718) 459-4400,https://www.netcostmarket.com/,netCostMarket_official,netCostMarket,checked,"Cash,Credit Card,EBT"
969 NYC Coffee,"3761 80th St, Jackson Heights, NY 11372",11,5,5;2,Private Outdoor,Y,74th Street - Broadway,2,1,"Coffee,Lunchboxes,Quick Bites",Cozy Japanese café and restaurant selling both fresh items and imported snacks. They also have a private patio dining area in the front.,"Onigiri, tonkotsu ramen, chicken tonkatsu sandwich",5,Take-out container of yakisoba (fried noodles and vegetables),(646) 203-7304,https://www.969nyccoffee.com/,,,,"Cash,Credit Card"
Pata Paplean,"76-21 Woodside Ave, Elmhurst, NY 11373",16,"",1,"Sidewalk,Public Space",Y,74th Street - Broadway,2,2,Cocktails,Conveniently located bar with plenty of physically-distanced seating and unique cocktails,Mango Sticky Rice [cocktail],5,"Covered outdoor seating area lit with string lights, and a sign listing noodles for sale.",(718) 651-2076,,pataBarNYC,pataPapleanNYC,,Cash
